timestamp_utc,symbol,price,action,confidence,tech_signal,ml_prob,position_qty,equity,drawdown,traded,regime,threshold,note
2026-05-20T03:51:59.698085+00:00,BTC/USD,76643.53,OUT,0.300393,-0.024266,0.038933,1.9e-05,101315.9,0.0,0,range,0.42,waiting_for_entry
2026-05-20T03:52:09.524950+00:00,SOL/USD,83.985,OUT,0.285082,-0.170029,0.030101,0.0,101315.9,0.0,0,range,0.42,waiting_for_entry
2026-05-20T03:52:26.300973+00:00,DOGE/USD,0.102693,OUT,0.272883,-0.205489,0.066197,5.3e-05,101315.9,0.0,0,range,0.46,waiting_for_entry
2026-05-20T07:45:09.257556+00:00,BTC/USD,77299.625,OUT,0.334371,0.044754,0.054221,1.9e-05,101316.08,0.0,0,range,0.42,waiting_for_entry
2026-05-20T07:45:18.767091+00:00,SOL/USD,84.81,OUT,0.326733,0.071806,0.03645,0.0,101316.08,0.0,0,range,0.42,waiting_for_entry
2026-05-20T07:45:38.688999+00:00,DOGE/USD,0.10367,OUT,0.345182,0.274504,0.071626,5.3e-05,101316.08,0.0,0,range,0.46,waiting_for_entry
2026-05-20T07:49:31.315283+00:00,BTC/USD,77187.5,OUT,0.340844,0.054932,0.054221,1.9e-05,101316.08,0.0,0,range,0.42,waiting_for_entry
2026-05-20T07:49:41.976054+00:00,SOL/USD,84.6785,OUT,0.326557,0.091132,0.032471,0.0,101316.08,0.0,0,range,0.42,waiting_for_entry
2026-05-20T07:49:58.432501+00:00,DOGE/USD,0.103434,OUT,0.332863,0.265551,0.071626,5.3e-05,101316.08,0.0,0,range,0.46,waiting_for_entry
2026-05-20T10:54:29.472436+00:00,BTC/USD,77469.731,OUT,0.320961,-0.013103,0.039997,1.9e-05,101316.11,0.0,0,range,0.42,waiting_for_entry
2026-05-20T10:54:42.950388+00:00,SOL/USD,84.94305,OUT,0.332125,0.032081,0.063758,0.0,101316.11,0.0,0,range,0.42,waiting_for_entry
2026-05-20T10:55:06.407826+00:00,DOGE/USD,0.103854,OUT,0.290009,-0.005869,0.066694,5.3e-05,101316.11,0.0,0,range,0.46,waiting_for_entry
2026-05-20T15:30:56.626126+00:00,BTC/USD,77490.1,OUT,0.331034,-0.052717,0.057781,1.9e-05,101316.22,0.0,0,range,0.42,waiting_for_entry
2026-05-20T15:31:16.967488+00:00,SOL/USD,85.819,OUT,0.326992,-0.052081,0.078006,0.0,101316.22,0.0,0,range,0.42,waiting_for_entry
2026-05-20T15:31:43.999177+00:00,DOGE/USD,0.104412,OUT,0.295752,-0.045275,0.067461,5.3e-05,101316.22,0.0,0,range,0.46,waiting_for_entry
2026-05-20T18:21:47.871780+00:00,BTC/USD,77532.525,OUT,0.33604,-0.059093,0.058361,1.9e-05,101316.22,0.0,0,range,0.42,waiting_for_entry
2026-05-20T18:21:59.191204+00:00,SOL/USD,86.33685,OUT,0.375154,0.087538,0.091463,0.0,101316.22,0.0,0,range,0.42,waiting_for_entry
2026-05-20T18:22:41.327154+00:00,DOGE/USD,0.104395,OUT,0.324145,0.116222,0.066907,5.3e-05,101316.22,0.0,0,range,0.46,waiting_for_entry
2026-05-20T21:58:58.794852+00:00,BTC/USD,77496.4095,OUT,0.331588,0.075665,0.037513,1.9e-05,101316.17,0.0,0,range,0.42,waiting_for_entry
2026-05-20T21:59:10.865965+00:00,SOL/USD,85.9268,OUT,0.357466,0.177284,0.06373,0.0,101316.17,0.0,0,range,0.42,waiting_for_entry
2026-05-20T21:59:35.075219+00:00,DOGE/USD,0.103823,OUT,0.31479,0.101375,0.068337,5.3e-05,101316.17,0.0,0,range,0.46,waiting_for_entry
2026-05-21T04:00:45.783919+00:00,BTC/USD,78003.983,OUT,0.341368,-0.10095,0.040533,1.9e-05,101316.26,0.0,0,range,0.42,waiting_for_entry
2026-05-21T04:00:55.473529+00:00,SOL/USD,86.77255,OUT,0.409309,0.088659,0.048387,0.0,101316.26,0.0,0,range,0.42,waiting_for_entry
2026-05-21T04:01:13.260131+00:00,DOGE/USD,0.105675,OUT,0.337834,-0.040133,0.068143,5.3e-05,101316.26,0.0,0,range,0.42,waiting_for_entry
